Model,Mean,CI_Lower,CI_Upper
SVM,0.476543583535109,0.439601751217638,0.51348541585258
Random Forest,0.803722760290557,0.758499814636168,0.848945705944946
Neural Network,0.627572639225182,0.588405741194836,0.666739537255527
