subject_id,chosen_num_trees,test_accuracy
1,150,0.851694915254237
2,150,0.911016949152542
3,150,0.966101694915254
4,150,0.860169491525424
5,150,0.716101694915254
6,150,0.792372881355932
7,100,0.847457627118644
8,150,0.792372881355932
9,100,0.614406779661017
10,100,0.88135593220339
11,150,0.728813559322034
12,150,0.563559322033898
13,100,0.877118644067797
14,150,0.817796610169492
15,150,0.957627118644068
16,150,0.877118644067797
17,150,0.953389830508475
18,100,0.936440677966102
19,150,0.775423728813559
20,150,0.771186440677966
21,150,0.864406779661017
22,150,0.771186440677966
23,150,0.652542372881356
24,150,0.932203389830508
25,150,0.745762711864407
26,100,0.588983050847458
27,150,0.855932203389831
28,100,0.864406779661017
