subject_id,accuracy
1,0.48728813559322
2,0.51271186440678
3,0.521186440677966
4,0.423728813559322
5,0.508474576271186
6,0.525423728813559
7,0.394067796610169
8,0.406779661016949
9,0.398305084745763
10,0.555084745762712
11,0.601694915254237
12,0.317796610169492
13,0.588983050847458
14,0.48728813559322
15,0.377118644067797
16,0.436440677966102
17,0.605932203389831
18,0.508474576271186
19,0.508474576271186
20,0.461864406779661
21,0.389830508474576
22,0.364406779661017
23,0.351694915254237
24,0.504237288135593
25,0.686440677966102
26,0.313559322033898
27,0.61864406779661
28,0.48728813559322
