Model,RandomFold_Acc,LOSO_Acc,LOSO_Std
SVM,0.583382712175368,0.476543583535109,0.0952699557804988
RF,0.862739225887874,0.803722760290557,0.11662626790496
NN,0.710953628171021,0.627572639225182,0.101008217766328
