Class,Precision,Recall,F1
boring,0.821579264617239,0.825060532687651,0.823316218665056
calm,0.778735632183908,0.820217917675545,0.798938679245283
funny,0.816760475297061,0.790556900726392,0.803445093817287
horror,0.824223602484472,0.803268765133172,0.81361128142244
