Model,BootstrapMean,CI_Lower,CI_Upper
SVM,0.476813256658596,0.440526634382566,0.512787530266344
Random Forest,0.803346246973366,0.760971549636804,0.845717312348668
Neural Network,0.626427663438257,0.59193401937046,0.66260593220339
